Plant Name,Temperature (°C),Soil Type,Soil pH,Growth Stage,Available Waste Products
Cucumber,26.2,Silt,7.9,Growth,"Compost, Coconut Shells, Fruit Scraps"
Brinjal,18.1,Chalk,6.3,Growth,"Seaweed Extract, Coffee Grounds, Pea Pods"
Watermelon,18.6,Clay,6.1,Growth,"Coffee Grounds, Coconut Shells, Worm Castings"
Beetroot,32.2,Sand,8.4,Growth,"Worm Castings, Alfalfa Hay, Fish Emulsion"
Lettuce,33.9,Peat,5.5,Initial,"Fish Emulsion, Vegetable Scraps, Worm Castings"
Beetroot,22.5,Sand,8.5,Initial,"Fish Emulsion, Compost, Chicken Manure"
Chili,20.4,Loamy,7.5,Growth,"Sugarcane Bagasse, Coconut Shells, Fish Emulsion"
Chili,27.9,Peat,8.0,Growth,"Mulch (Wood Chips), Grass Clippings, Fish Emulsion"
Watermelon,23.2,Silt,6.4,Initial,"Mulch (Wood Chips), Coconut Shells, Corn Stalks"
Mango,15.5,Chalk,5.5,Initial,"Pea Pods, Cow Manure, Mulch (Wood Chips)"
Zucchini,18.1,Silt,7.7,Initial,"Corn Stalks, Mulch (Wood Chips), Banana Peels"
Onion,29.3,Clay,8.0,Growth,"Coconut Shells, Sugarcane Bagasse, Seaweed Extract"
Zucchini,28.2,Sand,7.7,Growth,"Vegetable Scraps, Banana Peels, Corn Stalks"
Cauliflower,15.5,Loamy,5.9,Final,"Cow Manure, Mulch (Wood Chips), Fruit Scraps"
Tomato,19.4,Peat,7.8,Initial,"Worm Castings, Alfalfa Hay, Fruit Scraps"
Carrot,19.6,Peat,7.8,Growth,"Grass Clippings, Sugarcane Bagasse, Cow Manure"
Tomato,28.4,Sand,7.5,Initial,"Fruit Scraps, Corn Stalks, Chicken Manure"
Onion,15.4,Loamy,7.8,Growth,"Fish Emulsion, Banana Peels, Alfalfa Hay"
Mango,17.1,Sand,8.0,Initial,"Cow Manure, Rice Husk, Coffee Grounds"
Cabbage,31.0,Clay,7.3,Growth,"Seaweed Extract, Pea Pods, Compost"
Chili,18.6,Silt,5.8,Final,"Chicken Manure, Eggshells, Fish Emulsion"
Onion,28.1,Peat,7.0,Final,"Coconut Shells, Worm Castings, Grass Clippings"
Cucumber,19.8,Clay,5.7,Initial,"Banana Peels, Fruit Scraps, Sugarcane Bagasse"
Radish,17.0,Silt,6.7,Growth,"Grass Clippings, Coconut Shells, Vegetable Scraps"
Garlic,19.9,Clay,6.7,Growth,"Sugarcane Bagasse, Seaweed Extract, Mulch (Wood Chips)"
Mango,29.4,Loamy,5.7,Initial,"Cow Manure, Grass Clippings, Coconut Shells"
Cucumber,32.1,Peat,6.5,Growth,"Fruit Scraps, Eggshells, Coconut Shells"
Carrot,31.6,Sand,5.8,Initial,"Chicken Manure, Vegetable Scraps, Cow Manure"
Beetroot,22.9,Sand,7.9,Growth,"Grass Clippings, Coconut Shells, Pea Pods"
Carrot,28.4,Silt,8.3,Initial,"Mulch (Wood Chips), Grass Clippings, Corn Stalks"
Brinjal,19.1,Chalk,5.7,Growth,"Coconut Shells, Vegetable Scraps, Alfalfa Hay"
Mango,20.9,Loamy,8.4,Initial,"Coconut Shells, Chicken Manure, Seaweed Extract"
Radish,32.9,Silt,7.1,Growth,"Eggshells, Alfalfa Hay, Banana Peels"
Spinach,15.3,Chalk,6.4,Final,"Fruit Scraps, Tree Leaves, Fish Emulsion"
Carrot,16.7,Clay,5.7,Growth,"Rice Husk, Worm Castings, Fish Emulsion"
Potato,19.2,Loamy,7.0,Initial,"Grass Clippings, Mulch (Wood Chips), Pea Pods"
Tomato,15.5,Clay,7.9,Final,"Eggshells, Seaweed Extract, Banana Peels"
Mango,18.6,Peat,7.6,Growth,"Corn Stalks, Alfalfa Hay, Tree Leaves"
Garlic,26.7,Loamy,5.7,Final,"Worm Castings, Compost, Seaweed Extract"
Zucchini,23.4,Chalk,5.7,Growth,"Coconut Shells, Corn Stalks, Cow Manure"
Cauliflower,32.9,Peat,6.7,Final,"Coffee Grounds, Grass Clippings, Rice Husk"
Potato,31.3,Sand,6.4,Initial,"Fruit Scraps, Alfalfa Hay, Chicken Manure"
Lettuce,21.8,Chalk,6.2,Growth,"Worm Castings, Alfalfa Hay, Cow Manure"
Cabbage,20.2,Silt,6.3,Growth,"Pea Pods, Mulch (Wood Chips), Worm Castings"
Brinjal,22.6,Sand,7.9,Initial,"Coffee Grounds, Vegetable Scraps, Compost"
Cabbage,26.8,Sand,8.3,Final,"Coffee Grounds, Corn Stalks, Worm Castings"
Chili,20.4,Silt,6.7,Initial,"Eggshells, Banana Peels, Fruit Scraps"
Garlic,27.5,Loamy,8.2,Initial,"Chicken Manure, Worm Castings, Vegetable Scraps"
Brinjal,23.2,Sand,6.5,Final,"Coconut Shells, Sugarcane Bagasse, Fish Emulsion"
Pumpkin,26.0,Chalk,6.9,Initial,"Coffee Grounds, Tree Leaves, Pea Pods"
Cabbage,23.7,Peat,6.2,Growth,"Fruit Scraps, Seaweed Extract, Banana Peels"
Zucchini,20.9,Sand,7.4,Growth,"Worm Castings, Alfalfa Hay, Vegetable Scraps"
Potato,34.0,Chalk,8.4,Growth,"Vegetable Scraps, Coconut Shells, Banana Peels"
Broccoli,30.3,Clay,7.3,Initial,"Corn Stalks, Tree Leaves, Seaweed Extract"
Potato,17.8,Chalk,6.6,Growth,"Coffee Grounds, Tree Leaves, Rice Husk"
Garlic,32.4,Peat,7.4,Growth,"Rice Husk, Fish Emulsion, Alfalfa Hay"
Cabbage,24.7,Chalk,5.9,Growth,"Vegetable Scraps, Fruit Scraps, Cow Manure"
Mango,32.9,Silt,8.2,Growth,"Fruit Scraps, Fish Emulsion, Sugarcane Bagasse"
Cucumber,31.0,Peat,7.0,Growth,"Sugarcane Bagasse, Cow Manure, Coconut Shells"
Radish,23.5,Loamy,6.8,Growth,"Tree Leaves, Fruit Scraps, Banana Peels"
Pumpkin,15.4,Clay,7.3,Initial,"Corn Stalks, Coconut Shells, Worm Castings"
Watermelon,20.4,Silt,7.4,Growth,"Pea Pods, Alfalfa Hay, Cow Manure"
Chili,25.8,Loamy,5.7,Growth,"Mulch (Wood Chips), Compost, Fish Emulsion"
Potato,27.7,Chalk,7.5,Final,"Pea Pods, Banana Peels, Tree Leaves"
Cabbage,20.2,Peat,6.2,Initial,"Fruit Scraps, Worm Castings, Fish Emulsion"
Cabbage,17.8,Clay,7.6,Initial,"Worm Castings, Compost, Vegetable Scraps"
Garlic,31.7,Silt,8.0,Initial,"Mulch (Wood Chips), Sugarcane Bagasse, Worm Castings"
Onion,34.7,Loamy,7.9,Initial,"Tree Leaves, Pea Pods, Grass Clippings"
Lettuce,25.5,Loamy,7.2,Growth,"Coffee Grounds, Alfalfa Hay, Banana Peels"
Broccoli,18.4,Clay,7.1,Growth,"Corn Stalks, Cow Manure, Banana Peels"
Watermelon,20.4,Chalk,5.9,Final,"Pea Pods, Coconut Shells, Alfalfa Hay"
Broccoli,15.4,Clay,7.8,Final,"Chicken Manure, Vegetable Scraps, Tree Leaves"
Potato,33.3,Loamy,6.3,Initial,"Pea Pods, Grass Clippings, Tree Leaves"
Spinach,17.4,Sand,7.0,Final,"Tree Leaves, Eggshells, Grass Clippings"
Lettuce,26.5,Silt,6.4,Final,"Coconut Shells, Worm Castings, Coffee Grounds"
Potato,20.5,Clay,5.9,Initial,"Cow Manure, Seaweed Extract, Compost"
Zucchini,26.1,Loamy,7.4,Initial,"Eggshells, Chicken Manure, Corn Stalks"
Garlic,28.0,Chalk,5.7,Final,"Fish Emulsion, Rice Husk, Corn Stalks"
Broccoli,31.6,Loamy,7.7,Growth,"Mulch (Wood Chips), Cow Manure, Sugarcane Bagasse"
Potato,19.1,Chalk,6.5,Final,"Corn Stalks, Tree Leaves, Grass Clippings"
Cucumber,15.2,Clay,5.5,Final,"Pea Pods, Seaweed Extract, Corn Stalks"
Spinach,17.7,Chalk,7.0,Growth,"Coffee Grounds, Compost, Eggshells"
Onion,33.0,Peat,5.6,Growth,"Banana Peels, Eggshells, Coffee Grounds"
Onion,32.5,Peat,6.3,Initial,"Mulch (Wood Chips), Cow Manure, Rice Husk"
Broccoli,26.9,Peat,7.6,Initial,"Corn Stalks, Eggshells, Seaweed Extract"
Cauliflower,27.0,Sand,5.7,Final,"Grass Clippings, Seaweed Extract, Banana Peels"
Radish,28.3,Clay,8.0,Growth,"Alfalfa Hay, Coconut Shells, Seaweed Extract"
Watermelon,18.5,Loamy,5.5,Initial,"Coffee Grounds, Compost, Worm Castings"
Pumpkin,33.3,Loamy,6.2,Final,"Corn Stalks, Coconut Shells, Banana Peels"
Lettuce,23.4,Sand,7.7,Growth,"Seaweed Extract, Sugarcane Bagasse, Chicken Manure"
Zucchini,22.7,Chalk,6.4,Final,"Cow Manure, Sugarcane Bagasse, Coconut Shells"
Mango,25.4,Sand,5.8,Initial,"Eggshells, Sugarcane Bagasse, Fruit Scraps"
Cucumber,15.9,Chalk,6.6,Initial,"Eggshells, Pea Pods, Alfalfa Hay"
Potato,18.3,Chalk,6.3,Growth,"Sugarcane Bagasse, Rice Husk, Mulch (Wood Chips)"
Potato,29.8,Silt,8.0,Final,"Alfalfa Hay, Rice Husk, Fish Emulsion"
Radish,16.7,Loamy,6.4,Growth,"Alfalfa Hay, Cow Manure, Coconut Shells"
Radish,27.1,Peat,7.9,Initial,"Chicken Manure, Fish Emulsion, Corn Stalks"
Potato,19.9,Chalk,8.2,Initial,"Banana Peels, Coconut Shells, Fish Emulsion"
Cauliflower,22.8,Silt,6.8,Final,"Coconut Shells, Pea Pods, Corn Stalks"
Onion,20.8,Loamy,8.2,Final,"Grass Clippings, Chicken Manure, Corn Stalks"
Peas,22.1,Peat,6.6,Final,"Alfalfa Hay, Grass Clippings, Seaweed Extract"
Peas,29.4,Chalk,8.4,Growth,"Fish Emulsion, Grass Clippings, Coconut Shells"
Lettuce,20.9,Chalk,5.8,Final,"Cow Manure, Banana Peels, Seaweed Extract"
Broccoli,26.3,Sand,7.6,Final,"Compost, Coffee Grounds, Eggshells"
Tomato,24.5,Sand,7.0,Initial,"Mulch (Wood Chips), Sugarcane Bagasse, Banana Peels"
Beetroot,28.3,Loamy,6.7,Initial,"Eggshells, Seaweed Extract, Sugarcane Bagasse"
Watermelon,33.7,Peat,7.4,Final,"Fish Emulsion, Coconut Shells, Pea Pods"
Tomato,29.7,Chalk,7.6,Final,"Fruit Scraps, Vegetable Scraps, Cow Manure"
Chili,19.3,Loamy,5.5,Initial,"Alfalfa Hay, Corn Stalks, Compost"
Carrot,15.6,Loamy,6.0,Final,"Fruit Scraps, Rice Husk, Cow Manure"
Cauliflower,20.2,Clay,7.6,Growth,"Banana Peels, Chicken Manure, Seaweed Extract"
Radish,26.9,Sand,7.5,Growth,"Banana Peels, Mulch (Wood Chips), Compost"
Chili,16.0,Peat,8.4,Growth,"Worm Castings, Coconut Shells, Sugarcane Bagasse"
Pumpkin,24.9,Chalk,7.8,Final,"Seaweed Extract, Vegetable Scraps, Fish Emulsion"
Cucumber,26.9,Loamy,8.4,Initial,"Coffee Grounds, Chicken Manure, Worm Castings"
Cucumber,21.7,Chalk,7.6,Final,"Coffee Grounds, Corn Stalks, Tree Leaves"
Radish,30.4,Clay,6.4,Final,"Tree Leaves, Pea Pods, Eggshells"
Zucchini,17.1,Peat,5.8,Initial,"Coffee Grounds, Mulch (Wood Chips), Seaweed Extract"
Radish,16.5,Loamy,7.8,Initial,"Worm Castings, Vegetable Scraps, Coconut Shells"
Garlic,29.6,Chalk,7.4,Initial,"Alfalfa Hay, Vegetable Scraps, Tree Leaves"
Tomato,24.9,Sand,5.6,Growth,"Pea Pods, Worm Castings, Tree Leaves"
Potato,28.8,Clay,6.6,Final,"Pea Pods, Mulch (Wood Chips), Banana Peels"
Chili,23.7,Peat,8.4,Initial,"Compost, Banana Peels, Corn Stalks"
Cauliflower,19.9,Clay,7.0,Final,"Fruit Scraps, Fish Emulsion, Coffee Grounds"
Carrot,31.4,Sand,6.8,Growth,"Worm Castings, Seaweed Extract, Vegetable Scraps"
Zucchini,31.0,Peat,6.9,Growth,"Corn Stalks, Worm Castings, Seaweed Extract"
Mango,28.9,Clay,6.1,Initial,"Mulch (Wood Chips), Fruit Scraps, Vegetable Scraps"
Cabbage,20.4,Silt,6.6,Initial,"Mulch (Wood Chips), Seaweed Extract, Grass Clippings"
Brinjal,26.8,Sand,6.6,Final,"Fruit Scraps, Chicken Manure, Eggshells"
Brinjal,22.2,Sand,5.7,Initial,"Grass Clippings, Tree Leaves, Compost"
Spinach,16.8,Sand,7.8,Final,"Compost, Cow Manure, Chicken Manure"
Onion,33.3,Silt,6.7,Initial,"Mulch (Wood Chips), Coconut Shells, Alfalfa Hay"
Pumpkin,17.7,Silt,8.0,Final,"Chicken Manure, Mulch (Wood Chips), Rice Husk"
Mango,34.0,Chalk,8.1,Final,"Seaweed Extract, Corn Stalks, Grass Clippings"
Spinach,23.9,Loamy,6.1,Final,"Rice Husk, Coffee Grounds, Sugarcane Bagasse"
